id,name,traegerschaft,bezugsjahr
351,"Waidfussweg II (Waidfussweg, Trottenstr.)","Allgemeine Baugenossenschaft Zürich (ABZ)",1950
352,"Kolonie 3 (Bucheggstr. 102-114, 120-122, Guggachstr. 38-48, Langackers","Wiedinghof",1931
353,"13. Et. (Arbental)","Familienheim-Genossenschaft (FGZ)",1944
354,"Tannenrauch","Waidberg",1931
355,"Michbuck 1., 2., 3., 7. Etappe","Milchbuck",1949
356,"Katzenbach III","Glattal",0
357,"4. Et. (Schwellistr.)","Schönau",1962
358,"Burgwies 2 (Forchstr. 126-128)","Strassenbahner Zürich",1952
359,"Zurlinden","Liegenschaftenverwaltung",1919
360,"Stählimatt (Linth-Escher / Schönau)","Linth-Escher",2007
361,"13. Et. (Ernst-Zöbeli-Str. 8-10)","Halde Zürich",1970
362,"Kolonie V (Zypressen 118-126; Erismann 20-24; Erna 1-17; Stauffacher 2","Gemeinnützige Bau- und Mietergenossenschaft (GBMZ)",1930
363,"6. Et. (Saumackerstr. 85)","Graphika",1990
364,"1. Et. (Köschenrütistr.)","Schönau",1948
422,"Roswiesen-, Schürigstr.","BAHOGE",1954
423,"Wiedikon (Zurlindenstr. 294-302)","Zurlinden",1924
424,"Kolonie 1 (Saumstr.; Goldbr.str.)","Wiedikon",1923
425,"Kolonie Wipkingen 1","Denzlerstrasse",1929
426,"Suteracher II (Am Suteracher)","Frohheim",1967
427,"Heinrichstrasse 137","Stiftung PWG",1993
428,"Hofgarten I","Hofgarten",1930
429,"Buchegg (Zeppelinstr. 64-74, Bucheggstr. 80-88)","Letten",1946
430,"22. Et. (Alterswohnungen Schweighofstr.)","Familienheim-Genossenschaft (FGZ)",1976
431,"Felsenstr./Hammerstr.","LIGO",1937
432,"Wydäcker 3 (Triemlistr. 179-185, Wydäckerring 87-93, 102-106)","Sonnengarten",1952
465,"Redingstrasse 2","St. Jakob",0
466,"Grosswiesenstrasse 100, 102","Stiftung PWG",2006
467,"Au","Kinderreiche Familien, Stiftung (KR)",1952
468,"Hohlstr. 3 (Herrm.-Greulich-Str. 74, Hohlstr. 115-119)","Strassenbahner Zürich",1944
469,"Heiligfeld II","Liegenschaftenverwaltung",1950
470,"Kantstr. 20","Studentisches Wohnen",1990
471,"Sihlfeld Zurlindenstrasse","St. Jakob",1924
472,"Irchel/Möhrlistr.","Stiftung Alterswohnungen der Stadt Zürich (SAW)",1971
473,"5. Etappe (Oberstrass)","Oberstrass",1928
474,"Im Moos II (Hauriweg 9, Moosstr.)","Allgemeine Baugenossenschaft Zürich (ABZ)",1957
475,"Heumatt","Liegenschaftenverwaltung",1972
476,"Vista Verde","Freiblick",2004
477,"Letten I (Wasserwerkstr. 106)","Berufstätige Frauen",1927
478,"Karl der Grosse","Stiftung Alterswohnungen der Stadt Zürich (SAW)",1985
479,"Würzgraben","Liegenschaftenverwaltung",1969
480,"Hegibachstrasse 54, 56, 58","Stiftung PWG",2006
481,"3. Et. (Schörli, Burriweg, Wallisellenstr.)","Vitasana",1948
482,"Et. 3","Brunnenhof",1950
492,"Wallisellen Nord","Zentralstrasse",0
493,"Glatt I","Liegenschaftenverwaltung",1970
494,"2. Etappe (Oberstrasse)","Oberstrass",1926
495,"Ruggächer","Hagenbrünneli",0
496,"Altstetten (Grünau)","GEWOBAG",1976
497,"Saatlen (Saatlenstr. 150-152)","ASIG",1961
498,"Hochstrasse","Allgemeine Baugenossenschaft Zürich (ABZ)",1926
499,"Rebhügel","Liegenschaftenverwaltung",1919
500,"Guggach 3 (Grebelackerstr. 27-39)","Strassenbahner Zürich",1960
501,"Grünau (Frohes Wohnen)","Frohes Wohnen",1975
502,"Schaffhauserstrasse","Allgemeine Baugenossenschaft Zürich (ABZ)",1923
503,"Tulpenstr.","Herz-Jesu",1971
504,"Kilchbergstr.","Stadt und Land",1947
505,"Hellmutstr. neu","WOGENO",1990
506,"Beckenhof 2 (Stampfenbachstrasse 132)","Berufstätige Frauen",1930
483,"11. Et. (Fellenbergstr. 184-188)","Limmattal (GBL)",1961
484,"3. Et. (Sackzelg 26-49)","Limmattal (GBL)",1934
485,"9. Et. (Zwischen Langweid und Schweighofstr.)","Familienheim-Genossenschaft (FGZ)",1934
486,"2. Et.","Familienheim-Genossenschaft (FGZ)",1926
487,"Hofgarten II","Hofgarten",1930
488,"Oerlikon (Letten)","Letten",1926
489,"Im Holzerhurd 1 (Im Holzerhurd 1-3, 2-6, 30-34, 38-42)","ASIG",1964
490,"Im Wyl (Talwiesenstr.)","Suwita",1931
491,"Wohnkolonie 1911","BEROWISA",1911
433,"Hirschwiese","Hagenbrünneli",1952
434,"Döltschihalde","Liegenschaftenverwaltung",1968
435,"Riedgraben (Riedgrabenweg, Tramstr., Schörliweg)","Frohheim",1946
436,"Et. XI (Probstei)","Süd-Ost",1999
437,"Höngg (Frankental)","GEWOBAG",1961
438,"Studentenwohnheim Clausiusstrasse","Josef-Verein",1995
439,"Krokusdörfli","Sunnige Hof",1983
440,"Brunnenhof","Kinderreiche Familien, Stiftung (KR)",2007
441,"Sihlfeld (Stadt Zürich)","Liegenschaftenverwaltung",1920
442,"Schweighofstrasse","Schweighof",1929
443,"Luggweg","Liegenschaftenverwaltung",1959
444,"Friesenberg (SAW)","Stiftung Alterswohnungen der Stadt Zürich (SAW)",1968
445,"Letten 5","Eidgenössisches Personal (BEP)",1928
446,"Hirzelstrasse 30","Rotach",1930
447,"Vogelsangstr.","Allgemeine Baugenossenschaft Zürich (ABZ)",1988
448,"Hardau II","Liegenschaftenverwaltung",1976
449,"Unteraffoltern III","Liegenschaftenverwaltung",1981
450,"Schwamendingen (Glattstegweg)","GEWOBAG",1974
451,"Burstwiesen-/Gutstr.","Wiedikon, Altersheime",1978
452,"Kolonie III (Aemtler 180-184)","Gemeinnützige Bau- und Mietergenossenschaft (GBMZ)",1927
453,"Gsteigstr. 18","Studentisches Wohnen",1956
454,"Wehntalerstr. (Sunnige Hof)","Sunnige Hof",1944
455,"12. Et. (Badenerstr. 767-769)","Halde Zürich",1963
456,"Kronwiesen II","Glattal",1951
457,"Burgwies 4 (Hammerstr./Drahtzugstr.)","Strassenbahner Zürich",1993
458,"Im Eisernen Zeit","Mieter-Baugenossenschaft Zürich (MBGZ)",1927
459,"Luegisland-/Überlandstr.","Luegisland",1948
460,"Fröbel-, Hammer-, Wetli- und Forchstr.","Hirslanden",1926
461,"Rümlangstr. 1","Glattal",1975
462,"Etappe 1","Eisenbahner",1924
463,"Witikonerstrasse 234","Zürich 7",1998
464,"Siedlung Hätzlergasse","Baufreunde",2007
533,"Albisriederstr. 332","Sunnige Hof",1974
534,"Zwirnerhalde (Linth-Escher 03)","Linth-Escher",1947
535,"Mutschellenstrasse 87","Allgemeine Baugenossenschaft Zürich (ABZ)",1922
536,"Zürich, Bombach (Schwarzenbachweg, Frankentalerstr.)","Höngg",1951
537,"Kolonie 2 (Au-, Steinstr.)","Wiedikon",1930
538,"Et. IV (Tunnelüberbauung, Ueberlandstr.)","Süd-Ost",1981
539,"Sophienstrasse 1","Alumni-Stiftung",0
540,"Kolonie I (Anwand 45-51; Feld 54; Kanzlei 102-108; Schreiner 51)","Gemeinnützige Bau- und Mietergenossenschaft (GBMZ)",1925
541,"14. Et. (Ernst-Zöbeli-Str. 4)","Halde Zürich",1973
542,"Mutschellenstrasse 71-77 (Zürich 2)","Zürich 2",1927
543,"1. Et. (Wickenweg 54, 63)","Halde Zürich",1946
544,"Röschibachstr. 52","Kyburg",1929
545,"Schaffhauserstr. (Luegisland)","Luegisland",1948
546,"Lochergut","Liegenschaftenverwaltung",1965
547,"Seebach (SAW)","IGLA",1952
548,"Entlisberg I (Entlisbergstr., Hintermeisterhof, Gustav-Heinrich-Weg)","Allgemeine Baugenossenschaft Zürich (ABZ)",1928
549,"Rütihof, Langwiesen","Kaufmännischer Verband Zürich",1984
550,"Venusstr.","Alterssiedlung Albert-Näf-Hallauer",1966
551,"Riedtli (Letten)","Letten",1926
552,"Altstetten","Zurlinden",1960
553,"7. Et. (Ersatzneubau Schweighofstr.)","Familienheim-Genossenschaft (FGZ)",1989
554,"Heiligfeld","St. Jakob",1943
555,"Scheuchzerstrasse / Stüssistrasse","Selbsthilfe",1930
556,"Frohalp","Heimelig",1931
557,"5. Et. (Fellenbergstr. 206-210, 205-207, 213-215)","Limmattal (GBL)",1944
558,"Hönggerberg (Neuzeitliches Wohnen)","Neuzeitliches Wohnen",1953
559,"In Böden/Wehntalerstr.","Waidmatt",1995
560,"Winzerhalde II","Neuzeitliches Wohnen",1979
561,"1. Bauetappe","Zürich 7",1930
562,"4. Et. (Gutstr. 146-148, 150-152)","Im Gut",1954
563,"Kolonie 6 (Hönggerstr. 101-105; Im Sydefädeli 18-24)","Röntgenhof",1929
564,"Klee","Gemeinnützige Bau- und Mietergenossenschaft (GBMZ)",0
565,"Wettingerwies 2","Stiftung PWG",2006
566,"Gutstrasse Baufeld F","Im Gut",0
567,"Letzigraben Alterswohnungen","Eigengrund",1972
568,"Hofgarten III","Hofgarten",1969
569,"Eulenweg","Stiftung Alterswohnungen der Stadt Zürich (SAW)",1971
577,"Salzweg","Liegenschaftenverwaltung",1968
578,"8. Et. (Ginsterstr. 15-17, 23-29, Fellenbergstr. 250-252, Alb.-Schneid","Limmattal (GBL)",1951
579,"19. Et. (In der Ey 10-12)","Limmattal (GBL)",2000
580,"Hellmutstr. alt","WOGENO",1989
581,"Sihlfeld (1 + 2)","Allgemeine Baugenossenschaft Zürich (ABZ)",1928
582,"Goldacker 2 (Rossackerstr. 35-95, Rosshalde 1-7, 15-51)","Sonnengarten",1948
583,"Kolonie 10 (Freihofstr. 2-12)","Röntgenhof",1932
584,"Winzerhalde I","Neuzeitliches Wohnen",1960
585,"1. Et. (Hofwiesenstr. 45-79; Wissmannstr. 20-26)","Vrenelisgärtli",1930
586,"Höngg ( Am Wasser 67-69)","Zurlinden",1947
570,"Kanzleistr.","Allgemeine Baugenossenschaft Zürich (ABZ)",1930
571,"Rebhüsliweg 1-5","Studentisches Wohnen",1990
572,"Bäuli-/Grossmannstr.","SBW",1996
573,"14. Et. (Bernhard-Jaeggi-Weg)","Familienheim-Genossenschaft (FGZ)",1945
574,"Living 11","ASIG",2012
575,"Furttal","Liegenschaftenverwaltung",1980
576,"Hirzenbachstr. 14","ASIG",1966
507,"Gutstr.","Eigengrund",1979
508,"Grünhaldenstr. 62","Glattal",1966
509,"1. Et. (Simmlersteig)","Brunnenrain",1929
510,"Glaubtenstr. III","Liegenschaftenverwaltung",1968
511,"Hard","Letten",1931
512,"Zürich-Eyhof","Schönheim",1949
513,"Bülachstr. 11 (vorher Stiftung Studentenwohnbauten Irchel)","Studentisches Wohnen",1994
514,"Ankerstrasse 14 (Dreieck)","Das Dreieck",1997
515,"14. Et. (Altstetten: Rautistr. 370-378, 371-393, 397-399, Eugen-Huber-","Limmattal (GBL)",1964
516,"Katzenbach II","Glattal",2012
517,"5. Et. (Kleeweidstr. 14)","Kleeweid",1980
518,"Et. 2a (Kiefern-, Goldregenweg, Künzli-, Hoffeldstr.)","Brunnenhof",1947
519,"Ankerstrasse 20 (Dreieck)","Das Dreieck",1999
520,"Etappe 2","Eisenbahner",1929
521,"Letten 4","Eidgenössisches Personal (BEP)",1925
522,"Kolonie 1 (Fabrikstr. 35-39; Josefstr. 162; Röntgenstr. 56)","Röntgenhof",1926
523,"Burgwies 1 (Hammerstr. 78-84)","Strassenbahner Zürich",1932
524,"Wydäcker 2 (Wydäckerring 75-85, 80-82, 114-124)","Sonnengarten",1951
525,"Sihlfeld","St. Jakob",1924
526,"Seebach (Linth-Escher 08)","Linth-Escher",1960
527,"Owenweg","Allgemeine Baugenossenschaft Zürich (ABZ)",1948
528,"Im Holzerhurd 48-52","Süd-Ost",2013
529,"Letten 8","Eidgenössisches Personal (BEP)",1960
530,"Buchegg","Waidberg",1934
531,"Brunnenpark 1","Brunnenhof",2007
532,"Suteracher III (Am Suteracher)","Frohheim",1970
587,"Rütihof 1 (Rütihofstr. 14-24)","Sonnengarten",1984
588,"Holzmatt V (Ersatzneubau)","Baufreunde",2001
589,"Winzerhalde","Eigengrund",1983
590,"Winterthurer-/Dübendorfstrasse","Glattal",1952
591,"Oerlikon 1 (Friedackerstr. 1-4; Friedheimstr. 31-33)","Strassenbahner Zürich",1930
592,"Oerlikon (Ersatzneubau 1. Et.)","Linth-Escher",0
593,"3. Et. (Greifenseestr., Kirchenackerweg)","GISA",1950
594,"Luchswiesenstr.","Liegenschaftenverwaltung",1960
595,"Käferholz (Heimet)","Heimet",1948
596,"11. Et. (Heumatt I) u. 14. Et. (Heumatt II)","Milchbuck",1972
597,"Industrie 3","Eidgenössisches Personal (BEP)",1926
598,"4. Et. (Gutstr. 227, Sackzelg 10-14)","Limmattal (GBL)",1983
599,"Wehntalerstr. 641-643","Liberale Wohnbaugenossenschaft Zürich-Nord",1994
627,"Ifang II a","Waidmatt",1952
628,"Geibelstr. 53","Kyburg",1929
629,"Seebach (Birch-, Glatttal-, Honigstr., Bühnrain)","Linth-Escher",1949
630,"15. Et. (Schweigmatt)","Familienheim-Genossenschaft (FGZ)",1948
631,"6. Et. (Albisriederstr. 169-171, Gutstr. 230-232, 235-237)","Limmattal (GBL)",1946
632,"ZH-Wollishofen Kilchbergstrasse","Wohn- und Siedlungsgenossenschaft (WSGZ)",1999
633,"Mötteliweg","Baufreunde",0
634,"18. Et. (Im Rossweidli)","Familienheim-Genossenschaft (FGZ)",1954
635,"Zweierstrasse 50 (Dreieck)","Das Dreieck",2002
636,"Haus Furkastrasse","IGLA",1974
637,"Höngg (Rütihofstr. 41-73)","ASIG",1996
646,"3. Et. Grünmatt (Ersatzneubau)","Familienheim-Genossenschaft (FGZ)",0
647,"3. Et. (Gutstr. 124-140, 129-137)","Im Gut",1951
648,"Gubelstrasse 44","Studentisches Wohnen",2005
649,"Albisriederstrasse 404","Stiftung PWG",1997
650,"Entlisberg IV (Entlisbergstr. 54)","Allgemeine Baugenossenschaft Zürich (ABZ)",1972
651,"Zentrum Zch. Affoltern","Initiativ-Genossenschaft Zentrum Zch.-Affoltern (IGZZA)",1969
652,"5. Et. Wohnstadion","GISA",2003
653,"Wohnkolonie 1917","BEROWISA",1917
654,"Jasminweg","Allgemeine Baugenossenschaft Zürich (ABZ)",2002
655,"Staubstrasse","Zürich 2",1928
656,"Vista Verde (Siedlung 18, Zurlinden)","Zurlinden",2005
657,"Moosstrasse 8","Allgemeine Baugenossenschaft Zürich (ABZ)",1991
658,"Glatt II","Liegenschaftenverwaltung",1972
659,"Primelhof","Jungholz",1948
638,"Zürich-In der Ey","Schönheim",1993
639,"Grossacker","Liegenschaftenverwaltung",1980
640,"Luchswiesen II","Glattal",1959
641,"Scheffel-/Uhlandstr.","Suwita",1928
642,"Heiligfeld III","Liegenschaftenverwaltung",1954
643,"9. Etappe (Oberstrass)","Oberstrass",1931
644,"Altwiesenstr.","Baufreunde",1960
645,"Altstetten (Malojaweg 21 - 29)","GEWOBAG",2009
600,"2. Bauetappe","Zürich 7",1931
601,"Kraftwerk 2","Kraftwerk",2012
602,"Ifang","Waidmatt",1948
603,"Scheuchzerstrasse","Stiftung Alterswohnungen der Stadt Zürich (SAW)",1971
604,"Feldblume","Stiftung Alterswohnungen der Stadt Zürich (SAW)",1968
605,"Jasminweg II","Allgemeine Baugenossenschaft Zürich (ABZ)",0
606,"Mattenhof, Altwiesen-, Dübendorferstr, Hohmoos","Sunnige Hof",1946
607,"Et. 1b Zürich","Brunnenhof",1946
608,"Breitensteinstr.","Jugendwohnhilfe",1986
609,"Et. III (Obsthalde I: Obsthalden-/Wehntalerstr.)","Süd-Ost",1948
610,"Am Wasser 97","Am Wasser",1973
611,"20. Et. (Mühlezelgstr. 3-25; Albert Schneider Weg 3-23; Letzigraben 14","Limmattal (GBL)",2001
612,"Überland (SAW)","Stiftung Alterswohnungen der Stadt Zürich (SAW)",1971
613,"Kellerweg (Kellerweg 2)","Sonnengarten",1977
614,"Brüderhofweg, Anna-Heer-Str.","Frohheim",1944
615,"Hofwiesenstr. 21/23","Hofgarten",1922
616,"Neubühl","Stiftung Alterswohnungen der Stadt Zürich (SAW)",1966
617,"Stählimatt (Riedenholzstr. 22-30)","Schönau",2007
618,"Schützenmatt","Heimet",1996
619,"Kürberghang","Liegenschaftenverwaltung",1982
620,"Albisriederstrasse 398, 400; Lyrenweg 1","Stiftung PWG",2004
621,"Et. VII (Im Holzerhurd)","Süd-Ost",1971
622,"Sihlquai","Stiftung Alterswohnungen der Stadt Zürich (SAW)",1985
623,"Letten 9 (Alterswohnungen)","Eidgenössisches Personal (BEP)",1974
624,"Villa","Sonnengarten",1927
625,"Bülachhof 1-3","Studentisches Wohnen",2003
626,"5. Et. (Riedenhaldenstr.)","Milchbuck",1959
690,"Wollishofen (Kalchbühl-, Nidelbad-, Ost- und Westbühlstr.)","Neubühl",1931
691,"8. Et. (Grossalbis)","Familienheim-Genossenschaft (FGZ)",1933
692,"Dreispitz I (Dreispitz 2-22, 56-140, 184-200, 43-231, 250-320, Wallise","ASIG",1945
693,"Tramdepot Tiefenbrunnen","Liegenschaftenverwaltung",1991
694,"Josefstrasse 10, 12, 18","Stiftung PWG",1992
695,"Brunnenpark 2","Brunnenhof",0
696,"Herbstweg 110-112","ASIG",1967
697,"Morgentalstr. 21; Tannenrauchstr. 94-112","Zürich 2, Gemeinnützige",1929
698,"Wolfswinkel","Allgemeine Baugenossenschaft Zürich (ABZ)",2007
699,"ZH-Wollishofen Mutschelle","Wohn- und Siedlungsgenossenschaft (WSGZ)",1950
700,"Riedacker","Glattal",1955
701,"Zweierstrasse 48 (Dreieck)","Das Dreieck",1999
702,"Hadlaubstr.","Evang.-ref. Kirchgemeinde Zürich-Oberstrass",1980
703,"Kolonie 1 (Kalkbreitestr. 85, 93, 95, Stationsstr. 50-54)","Wiedinghof",1929
704,"3. Et. (Wickenweg 35, 49)","Halde Zürich",1948
705,"Kolonie VI ( Stüdliweg 3-10; Erna 6-16; Hohl 169-187)","Gemeinnützige Bau- und Mietergenossenschaft (GBMZ)",1931
706,"6. Et. (Luegisland-, Roswiesenstr.)","Vitasana",1952
707,"Guggach 7","Strassenbahner Zürich",2007
708,"Oerlikon (Linth-Escher)","Linth-Escher",1953
709,"Ankerstrasse 12 (Dreieck)","Das Dreieck",1979
710,"Hagenbrünneli / Regulastr.","Waidmatt",1973
711,"Saatlenzelg","Liegenschaftenverwaltung",1976
712,"Limmattalstr. 218","WOGENO",1995
713,"2. Et. (Gutstr. 110-128, 85-89, 111-127)","Im Gut",1950
714,"Zentralstr.","Zentralstrasse",1919
715,"4. Et. (Im Stückler 2-14, 15, 16-18, 19, 20-22, 25, 27, Dachslernstr.","Halde Zürich",1948
716,"Luegislandstrasse II","Baufreunde",2006
717,"1. Et. (Schwamendingenstr. 129, Überlandstr. 50-52)","Werdmühle",2003
718,"Hotze","Letten",1929
719,"Am Wasser 56, 60, 64, Grossmannstr. 29-33","SBW",1969
720,"2. Et. (Vetterliweg 89;Wickenweg 18)","Halde Zürich",1946
721,"Zwirnerhalde (Linth-Escher 04)","Linth-Escher",1966
722,"Waldgarten","Stiftung Alterswohnungen der Stadt Zürich (SAW)",1959
660,"12. Et. Kronwiesen","Vitasana",2007
661,"Seebach (Mattackerstr. 65-73, 77-83)","ASIG",1968
662,"Salvatorstr.","Herz-Jesu",1999
663,"17. Et. (Wässeri 13-15)","Limmattal (GBL)",1977
664,"Else Züblin Neubau","Sunnige Hof",2010
665,"Krone Altstetten","Stiftung Alterswohnungen der Stadt Zürich (SAW)",0
666,"Paradies/Entlisberg","Liegenschaftenverwaltung",1972
667,"1. Et. (Letzigraben 145-151; Fellenbergstr. 220-228)","Limmattal (GBL)",1931
668,"Greifensee-, Tramstr.","Werdmühle",1999
669,"Albisrieden (Altstetterstr. 318-324, Diggelmannstr. 1-11, 6-12, Greble","Zurlinden",1952
670,"Albistr. 46-50; Morgentalstr. 9-11","Zürich 2, Gemeinnützige",1928
671,"Bristenstr. 2","Allgemeine Baugenossenschaft Zürich (ABZ)",1970
672,"Ankerstrasse 11 (Dreieck)","Das Dreieck",2002
673,"Holderbachweg","Holderbach",1991
674,"Saatlen (Dreispitz 265-269, Saatlenstr. 98-110)","ASIG",1955
675,"Unteraffoltern II","Liegenschaftenverwaltung",1969
676,"Seniorama im Tiergarten","Wiedikon, Altersheime",0
677,"Manegg (LV)","Liegenschaftenverwaltung",1955
678,"Überland (Eigengrund)","Eigengrund",1960
679,"Erismannhof","Liegenschaftenverwaltung",1928
680,"17. Et. (Hegianwandweg)","Familienheim-Genossenschaft (FGZ)",1952
681,"11. Et. (Ersatzneubau Unterer Schweighof)","Familienheim-Genossenschaft (FGZ)",1997
682,"Hirzenbachstr.","BAHOGE",1958
683,"Schubertstrasse","Selbsthilfe",1928
684,"Entlisberg 2 (Marchwartstr. 56-72)","Strassenbahner Zürich",1931
685,"Witikon (Wiesliacher 1, 6, 7, 8, Trichtenhausenstr. 140-144)","ASIG",1970
686,"Schöneggstrasse","Homelab",2007
687,"Albisrieder-, Else-Züblin-Str.","Sunnige Hof",1950
688,"Lerchenberg","Hagenbrünneli",1969
689,"ZH-Wollishofen Kalchbühlstrasse","Wohn- und Siedlungsgenossenschaft (WSGZ)",1948
