Ereignisjahr,qcode,qname,Anzahl_Geburten_wirtschaftlich,wirtschaftliche_Bevölkerung,Geburtenziffer_Promille
2011,123,Hirzenbach,132,11516,11.46231
2012,11,Rathaus,31,3164,9.797724
2012,12,Hochschulen,0,0,0
2012,13,Lindenhof,9,935,9.625668
2012,14,City,2,799,2.503129
2012,21,Wollishofen,191,16029,11.9159
2012,23,Leimbach,74,5354,13.82144
2012,24,Enge,113,8699,12.99
2012,31,Alt-Wiedikon,238,16109,14.77435
2012,33,Friesenberg,83,10986,7.55507
2012,34,Sihlfeld,286,20831,13.72954
2012,41,Werd,63,4195,15.01788
2012,42,Langstrasse,120,10560,11.36364
2012,44,Hard,132,12994,10.15853
2012,51,Gewerbeschule,112,9824,11.40065
2012,52,Escher Wyss,45,3343,13.46096
2012,61,Unterstrass,263,21442,12.26565
2012,63,Oberstrass,120,10308,11.64144
2012,71,Fluntern,96,7779,12.34092
2012,72,Hottingen,132,10447,12.63521
2012,73,Hirslanden,90,7131,12.62095
2012,74,Witikon,82,10246,8.003123
2012,81,Seefeld,70,4916,14.23922
2012,82,Mühlebach,55,5745,9.573542
2012,83,Weinegg,42,4783,8.7811
2012,91,Albisrieden,263,18999,13.84283
2012,92,Altstetten,344,31438,10.94217
2012,101,Höngg,253,21537,11.74723
2012,102,Wipkingen,190,15791,12.03217
2012,111,Affoltern,351,24855,14.12191
2012,115,Oerlikon,227,21331,10.64179
2012,119,Seebach,268,23310,11.49721
2012,121,Saatlen,80,7118,11.23911
2012,122,Schwamendingen-Mitte,104,10920,9.52381
2012,123,Hirzenbach,149,11404,13.06559
2013,11,Rathaus,23,3194,7.201002
2013,12,Hochschulen,4,665,6.015038
2013,13,Lindenhof,9,923,9.750813
2013,14,City,6,783,7.662835
2013,21,Wollishofen,172,15937,10.7925
2013,23,Leimbach,85,5730,14.83421
2013,24,Enge,132,8836,14.93889
2013,31,Alt-Wiedikon,259,16706,15.50341
2013,33,Friesenberg,103,10696,9.629768
2013,34,Sihlfeld,305,20931,14.57169
2013,41,Werd,71,4188,16.9532
2013,42,Langstrasse,125,10686,11.69755
2013,44,Hard,134,13241,10.12008
2013,51,Gewerbeschule,113,9626,11.73904
2013,52,Escher Wyss,54,4010,13.46633
2013,61,Unterstrass,327,21876,14.94789
2013,63,Oberstrass,127,10452,12.15078
2013,71,Fluntern,81,7856,10.31059
2013,72,Hottingen,120,10708,11.20657
2013,73,Hirslanden,102,7285,14.00137
2013,74,Witikon,80,10267,7.791955
2013,81,Seefeld,57,4978,11.45038
2013,82,Mühlebach,67,5912,11.33288
2013,83,Weinegg,52,5022,10.35444
2013,91,Albisrieden,256,19146,13.37094
2013,92,Altstetten,366,31115,11.76282
2013,101,Höngg,256,21581,11.86229
2013,102,Wipkingen,171,15835,10.79886
2013,111,Affoltern,340,25082,13.55554
2013,115,Oerlikon,267,21658,12.32801
2013,119,Seebach,280,24008,11.66278
2013,121,Saatlen,84,7280,11.53846
2013,122,Schwamendingen-Mitte,155,11209,13.82817
2013,123,Hirzenbach,137,11153,12.28369
